Scallop_no,month,shell_height
1,August,47
2,August,50
3,August,42
4,August,52
5,August,50
6,August,44
7,August,45
8,August,48
9,August,47
10,August,47
11,August,52
12,August,47
13,August,51
14,August,54
15,August,44
16,August,38
17,August,54
18,August,49
19,August,46
20,August,51
21,August,49
22,August,50
23,August,46
24,August,54
25,August,52
26,August,48
27,August,52
28,August,52
29,August,54
30,August,44
31,August,50
32,August,55
33,August,46
34,August,49
1,September,55
2,September,56
3,September,57
4,September,55
5,September,54
6,September,52
7,September,53
8,September,47
9,September,47
10,September,52
11,September,56
12,September,51
13,September,54
14,September,56
15,September,53
16,September,52
17,September,60
18,September,54
19,September,56
20,September,58
21,September,57
22,September,55
23,September,53
24,September,52
25,September,52
26,September,56
27,September,50
28,September,47
29,September,58
30,September,52
31,September,47
32,September,51
33,September,60
34,September,59
35,September,55
36,September,46
37,September,55
38,September,49
39,September,52
40,September,51
41,September,49
42,September,50
43,September,52
44,September,48
45,September,59
46,September,56
47,September,48
48,September,54
49,September,58
50,September,57
